CVE-2018-0001 juniper junos
CVE-2018-0101 cisco adaptive_security_appliance_software
CVE-2018-0101 cisco firepower_threat_defense
CVE-2018-0160 cisco ios_xe
CVE-2018-0170 cisco ios_xe
CVE-2018-0469 cisco ios_xe
CVE-2018-0493 debian debian_linux
CVE-2018-1000039 artifex mupdf
CVE-2018-1000051 artifex mupdf
CVE-2018-1000222 libgd libgd
CVE-2018-1000222 canonical ubuntu_linux
CVE-2018-10119 libreoffice libreoffice
CVE-2018-10119 debian debian_linux
CVE-2018-10191 mruby mruby
CVE-2018-10199 mruby mruby
CVE-2018-10302 foxitsoftware foxit_reader
CVE-2018-10302 foxitsoftware phantompdf
CVE-2018-10303 foxitsoftware foxit_reader
CVE-2018-10303 foxitsoftware phantompdf
CVE-2018-10675 linux linux_kernel
CVE-2018-10685 long_range_zip_project long_range_zip
CVE-2018-10876 canonical ubuntu_linux
CVE-2018-10876 debian debian_linux
CVE-2018-10876 linux linux_kernel
CVE-2018-10879 canonical ubuntu_linux
CVE-2018-10879 debian debian_linux
CVE-2018-10879 linux linux_kernel
CVE-2018-10902 canonical ubuntu_linux
CVE-2018-10902 debian debian_linux
CVE-2018-10902 linux linux_kernel
CVE-2018-10902 redhat enterprise_linux_desktop
CVE-2018-10902 redhat enterprise_linux_server
CVE-2018-10902 redhat enterprise_linux_workstation
CVE-2018-11129 vcftools_project vcftools
CVE-2018-11130 vcftools_project vcftools
CVE-2018-11230 jbig2enc_project jbig2enc
CVE-2018-11243 upx_project upx
CVE-2018-11258 qualcomm mdm9206_firmware
CVE-2018-11258 qualcomm mdm9607_firmware
CVE-2018-11258 qualcomm mdm9650_firmware
CVE-2018-11258 qualcomm msm8909w_firmware
CVE-2018-11258 qualcomm msm8996au_firmware
CVE-2018-11258 qualcomm sd_205_firmware
CVE-2018-11258 qualcomm sd_210_firmware
CVE-2018-11258 qualcomm sd_212_firmware
CVE-2018-11258 qualcomm sd_415_firmware
CVE-2018-11258 qualcomm sd_425_firmware
CVE-2018-11258 qualcomm sd_450_firmware
CVE-2018-11258 qualcomm sd_615_firmware
CVE-2018-11258 qualcomm sd_616_firmware
CVE-2018-11258 qualcomm sd_625_firmware
CVE-2018-11258 qualcomm sd_650_firmware
CVE-2018-11258 qualcomm sd_652_firmware
CVE-2018-11258 qualcomm sd_820_firmware
CVE-2018-11258 qualcomm sd_820a_firmware
CVE-2018-11258 qualcomm sd_835_firmware
CVE-2018-11258 qualcomm sd_845_firmware
CVE-2018-11258 qualcomm sdx20_firmware
CVE-2018-11270 google android
CVE-2018-11273 google android
CVE-2018-11276 google android
CVE-2018-11281 google android
CVE-2018-11286 google android
CVE-2018-11300 google android
CVE-2018-11358 wireshark wireshark
CVE-2018-11383 radare radare2
CVE-2018-11410 liblouis liblouis
CVE-2018-11410 canonical ubuntu_linux
CVE-2018-11412 linux linux_kernel
CVE-2018-11416 jpegoptim_project jpegoptim
CVE-2018-11496 lrzip_project lrzip
CVE-2018-11499 sass-lang libsass
CVE-2018-11529 videolan vlc_media_player
CVE-2018-11529 debian debian_linux
CVE-2018-11617 foxitsoftware foxit_reader
CVE-2018-11617 foxitsoftware phantompdf
CVE-2018-11618 foxitsoftware foxit_reader
CVE-2018-11618 foxitsoftware phantompdf
CVE-2018-11619 foxitsoftware foxit_reader
CVE-2018-11619 foxitsoftware phantompdf
CVE-2018-11624 imagemagick imagemagick
CVE-2018-1173 foxitsoftware foxit_reader
CVE-2018-1173 foxitsoftware phantompdf
CVE-2018-11730 libfsntfs_project libfsntfs
CVE-2018-1177 foxitsoftware foxit_reader
CVE-2018-1177 foxitsoftware phantompdf
CVE-2018-1178 foxitsoftware foxit_reader
CVE-2018-1178 foxitsoftware phantompdf
